Make,Model,Year of manufacture,Body,Doors,Seats,Colour,Engine size,Price,Mileage,Fuel type,Fuel economy,Transmission,Horse power,Owners,Extraction time
Hyundai,ix35 1.7 PREMIUM CRDI  5d 114 BHP,2013,Estate,5,5,Blue,1.7,"£7,999","49,777 ",n/a, 48.7 ,Manual,114 ,4,16-11-2021
MINI,Mini 1.5 COOPER 5d 134 BHP,2017,Hatchback,5,5,Grey,1.5,"£11,999","28,788 ",Petrol, 60.1 ,Manual,134 ,1,16-11-2021
Mitsubishi,Shogun 3.2 DI-D SG3 5d 187 BHP,2017,Estate,5,7,Black,3.2,"£27,999","27,085 ",n/a, 30.4 ,Automatic,187 ,1,16-11-2021
MINI,Mini Countryman 2.0 COOPER D 5d 148 BHP,2018,Hatchback,5,5,Black,2.0,"£15,999","55,457 ",n/a, 54.3 ,Manual,148 ,1,16-11-2021
Hyundai,Tucson 1.7 CRDI SE NAV BLUE DRIVE 5d 114 BHP,2016,Estate,5,5,Black,1.7,"£13,699","53,899 ",n/a, 61.4 ,Manual,114 ,1,16-11-2021
Volvo,XC60 2.0 T5 SE NAV 5d 240 BHP,2017,Estate,5,5,Grey,2.0,"£24,499","21,440 ",Petrol, 42.2 ,Automatic,240 ,1,16-11-2021
Peugeot,3008 SUV 1.5 BLUEHDI S/S ALLURE 5d 129 BHP,2018,Hatchback,5,5,Blue,1.5,"£20,699","47,119 ",n/a, 68.9 ,Automatic,129 ,1,16-11-2021
Volkswagen,Passat 1.6 SE BUSINESS TDI BLUEMOTION TECHNOLOGY 5d 119 BHP,2017,Estate,5,5,Silver,1.6,"£12,999","61,095 ",n/a, 68.9 ,Manual,118 ,1,16-11-2021
Kia,Sportage 1.6 GT-LINE 5d 174 BHP,2018,Estate,5,5,Black,1.6,"£19,499","30,019 ",Petrol, 38.7 ,Manual,174 ,1,16-11-2021
Ford,Edge 2.0 TITANIUM TDCI 5d 177 BHP,2017,Estate,5,5,Blue,2.0,"£22,699","25,650 ",n/a, 48.7 ,Manual,177 ,1,16-11-2021
Land Rover,Range Rover Evoque 2.0 ED4 SE TECH 5d 148 BHP,2017,Hatchback,5,5,Grey,2.0,"£22,499","40,123 ",n/a, 65.7 ,Manual,148 ,1,16-11-2021
BMW,X1 2.0 SDRIVE18D SE 5d 148 BHP,2017,Estate,5,5,Black,2.0,"£19,399","23,048 ",n/a, 68.9 ,Manual,148 ,1,16-11-2021
Volkswagen,Passat 2.0 SE BUSINESS TDI BLUEMOTION TECHNOLOGY 5d 148 BHP,2017,Estate,5,5,Grey,2.0,"£12,999","69,943 ",n/a, 67.3 ,Manual,148 ,1,16-11-2021
Seat,Arona 1.0 TSI FR SPORT DSG 5d 114 BHP,2019,Hatchback,5,5,Grey,1.0,"£18,299","18,670 ",Petrol, 46.3 ,Automatic,114 ,1,16-11-2021
Mazda,CX-5 2.0 SE-L NAV PLUS 5d 163 BHP,2018,Estate,5,5,White,2.0,"£21,999","22,790 ",Petrol, 36.7 ,Automatic,163 ,1,16-11-2021
Volvo,V70 2.0 D4 SE NAV 5d 178 BHP,2015,Estate,5,5,Silver,2.0,"£14,499","61,918 ",n/a, 60.1 ,Automatic,178 ,1,16-11-2021
Ford,Focus 1.0 ST-LINE 5d 124 BHP,2018,Hatchback,5,5,Black,1.0,"£16,599","28,593 ",Petrol, 48.7 ,Manual,123 ,1,16-11-2021
Hyundai,IONIQ 1.6 PREMIUM 5d,2017,Hatchback,5,5,Blue,1.6,"£14,499","65,987 ",Hybrid, 83.1 ,Automatic,140 ,1,16-11-2021
Mazda,CX-5 2.0 SE-L NAV 5d 163 BHP,2018,Estate,5,5,Blue,2.0,"£18,999","30,096 ",Petrol, 44.1 ,Manual,163 ,1,16-11-2021
Dacia,Duster 1.0 COMFORT TCE 5d 100 BHP,2020,Hatchback,5,5,White,1.0,"£14,999","6,000 ",Petrol, 41.5 ,Manual,99 ,2,16-11-2021
BMW,X3 2.0 XDRIVE20D XLINE 5d 188 BHP,2017,Estate,5,5,White,2.0,"£26,499","30,755 ",n/a, 54.3 ,Automatic,188 ,2,16-11-2021
Nissan,X-Trail 1.6 DCI ACENTA 5d 130 BHP,2016,Estate,5,5,Silver,1.6,"£14,999","22,751 ",n/a, 57.7 ,Manual,130 ,1,16-11-2021
BMW,2 Series 2.0 218D M SPORT ACTIVE TOURER 5d 148 BHP,2017,Hatchback,5,5,Black,2.0,"£16,799","49,293 ",n/a, 65.7 ,Automatic,148 ,1,16-11-2021
Peugeot,2008 Crossover 1.6 E-HDI ALLURE FAP 5d 92 BHP,2015,Hatchback,5,5,Black,1.6,"£9,299","40,834 ",n/a, 74.3 ,Automatic,92 ,3,16-11-2021
Hyundai,Tucson 1.6 GDI SE NAV BLUE DRIVE 5d 130 BHP,2017,Estate,5,5,Blue,1.6,"£15,999","26,962 ",Petrol, 44.8 ,Manual,130 ,1,16-11-2021
Kia,Niro 1.6 3 PHEV 5d 104 BHP,2018,Hatchback,5,5,Black,1.6,"£19,499","45,915 ",Hybrid,n/a,Automatic,139 ,1,16-11-2021
Land Rover,Range Rover Evoque 2.0 ED4 SE 5d 148 BHP,2017,Hatchback,5,5,Black,2.0,"£21,999","34,845 ",n/a, 65.7 ,Manual,148 ,1,16-11-2021
BMW,1 Series 1.5 116D SPORT 5d 114 BHP,2017,Hatchback,5,5,White,1.5,"£13,199","37,764 ",n/a, 72.4 ,Manual,114 ,1,16-11-2021
Jaguar,XE 2.0 D R-SPORT 4d 161 BHP,2018,Saloon,n/a,n/a,Blue,2.0,"£17,899","35,984 ",n/a,n/a,Manual,n/a,1,16-11-2021
MINI,Mini 2.0 COOPER SD 5d 168 BHP,2016,Hatchback,5,5,Blue,2.0,"£12,799","48,516 ",n/a, 68.9 ,Manual,168 ,1,16-11-2021
Vauxhall,Astra 1.6 DESIGN CDTI 5d 108 BHP,2018,Estate,5,5,Silver,1.6,"£11,899","31,243 ",n/a, 78.5 ,Manual,108 ,1,16-11-2021
Skoda,Octavia 2.0 VRS TDI DSG 5d 181 BHP,2017,Estate,5,5,Blue,2.0,"£17,499","61,228 ",n/a, 57.7 ,Automatic,181 ,1,16-11-2021
Audi,A3 1.5 TFSI SE TECHNIK 5d 148 BHP,2018,Hatchback,5,5,Black,1.5,"£12,299","86,432 ",Petrol, 56.5 ,Manual,148 ,1,16-11-2021
Mercedes-Benz,C-Class 1.6 C 200 D SE EXECUTIVE EDITION 4d 136 BHP,2017,Saloon,4,5,Black,1.6,"£13,599","75,444 ",n/a, 72.4 ,Manual,136 ,1,16-11-2021
Mazda,CX-5 2.0 SPORT NAV 5d 163 BHP,2018,Estate,5,5,Red,2.0,"£19,499","43,262 ",Petrol, 44.1 ,Manual,163 ,1,16-11-2021
Seat,Leon 1.0 TSI SE DYNAMIC 5d 114 BHP,2019,Hatchback,5,5,Silver,1.0,"£14,299","12,578 ",Petrol, 47.9 ,Manual,114 ,1,16-11-2021
Volvo,XC60 2.0 D4 SE NAV 5d 188 BHP,2016,Estate,5,5,Silver,2.0,"£16,999","78,762 ",n/a, 60.1 ,Automatic,188 ,1,16-11-2021
Skoda,Octavia 1.6 SE L TDI 5d 114 BHP,2018,Estate,5,5,Silver,1.6,"£12,999","59,091 ",n/a, 67.3 ,Manual,114 ,1,16-11-2021
Kia,Sportage 1.6 GT-LINE 5d 174 BHP,2017,Estate,5,5,Red,1.6,"£20,999","27,888 ",Petrol, 37.7 ,Automatic,174 ,1,16-11-2021
Mazda,Mazda6 2.2 D SPORT NAV 5d 173 BHP,2017,Estate,5,5,Silver,2.2,"£12,399","79,832 ",n/a, 61.4 ,Manual,173 ,1,16-11-2021
Volkswagen,up! 1.0 MOVE UP 3d 60 BHP,2017,Hatchback,3,4,Red,1.0,"£7,599","27,056 ",Petrol, 64.2 ,Manual,59 ,1,16-11-2021
BMW,1 Series 2.0 118D SPORT 5d 147 BHP,2017,Hatchback,5,5,Black,2.0,"£13,999","36,534 ",n/a, 68.9 ,Manual,147 ,1,16-11-2021
BMW,X3 2.0 XDRIVE20D M SPORT 5d 188 BHP,2017,Estate,5,5,Red,2.0,"£23,499","50,134 ",n/a, 54.3 ,Automatic,188 ,1,16-11-2021
Kia,Sportage 1.7 CRDI 3 ISG 5d 114 BHP,2018,Estate,5,5,Black,1.7,"£18,599","22,215 ",n/a, 61.4 ,Manual,114 ,1,16-11-2021
Seat,Leon 1.4 ECOTSI FR TITANIUM TECHNOLOGY 3d 148 BHP,2018,Hatchback,3,5,Black,1.4,"£15,499","24,532 ",Petrol, 56.5 ,Manual,148 ,1,16-11-2021
MINI,Mini 1.5 COOPER SEVEN 3d 134 BHP,2018,Hatchback,3,4,Blue,1.5,"£13,799","18,157 ",Petrol, 61.4 ,Manual,134 ,2,16-11-2021
Renault,Clio 0.9 DYNAMIQUE MEDIANAV ENERGY TCE S/S 5d 90 BHP,2014,Hatchback,5,5,Black,0.9,"£6,799","55,812 ",Petrol, 62.8 ,Manual,90 ,2,16-11-2021
Vauxhall,Insignia Sports Tourer 1.5 TECH LINE NAV 5d 163 BHP,2017,Estate,5,5,Silver,1.5,"£13,999","39,425 ",Petrol, 46.3 ,Manual,163 ,1,16-11-2021
Seat,Ateca 1.0 TSI ECOMOTIVE SE 5d 114 BHP,2017,Hatchback,5,5,Black,1.0,"£13,499","56,210 ",Petrol, 54.3 ,Manual,114 ,2,16-11-2021
BMW,X1 2.0 SDRIVE18D M SPORT 5d 148 BHP,2017,Estate,5,5,Silver,2.0,"£20,499","37,211 ",n/a, 68.9 ,Manual,148 ,1,16-11-2021
Ford,Mondeo 1.5 ZETEC ECONETIC TDCI 5d 114 BHP,2018,Hatchback,5,5,Red,1.5,"£13,999","35,975 ",n/a, 78.5 ,Manual,114 ,1,16-11-2021
Volkswagen,Golf 2.0 GTI TSI DSG 3d 227 BHP,2018,Hatchback,3,5,Black,2.0,"£22,699","43,518 ",Petrol, 44.1 ,Automatic,227 ,1,16-11-2021
BMW,4 Series 2.0 420I M SPORT GRAN COUPE 4d 181 BHP,2019,Coupe,4,5,White,2.0,"£21,499","68,838 ",Petrol, 48.7 ,Automatic,181 ,1,16-11-2021
Mercedes-Benz,C-Class 2.0 C350 E SPORT 4d 208 BHP,2018,Saloon,4,5,Grey,2.0,"£20,999","48,970 ",Hybrid, 134.5 ,Automatic,275 ,1,16-11-2021
Audi,A3 1.4 TFSI S LINE 4d 148 BHP,2017,Saloon,4,5,Black,1.4,"£18,999","28,150 ",Petrol, 58.9 ,Manual,148 ,1,16-11-2021
Citroen,C4 Cactus 1.2 PURETECH FEEL 5d 80 BHP,2017,Hatchback,5,5,Red,1.2,"£9,499","38,937 ",Petrol, 61.4 ,Manual,80 ,1,16-11-2021
MINI,Mini Countryman 2.0 COOPER D ALL4 5d 148 BHP,2018,Hatchback,5,5,White,2.0,"£21,999","31,150 ",n/a, 49.6 ,Automatic,148 ,1,16-11-2021
Mercedes-Benz,A-Class 1.5 A 180 D SPORT 5d 107 BHP,2017,Hatchback,5,5,Red,1.5,"£16,499","18,018 ",n/a, 72.4 ,Manual,107 ,1,16-11-2021
Hyundai,i10 1.0 GO 5d 65 BHP,2016,Hatchback,5,5,White,1.0,"£6,899","27,290 ",Petrol, 60.1 ,Manual,65 ,1,16-11-2021
MINI,Mini 1.5 COOPER 5d AUTO 134 BHP,2015,Hatchback,5,5,Silver,1.5,"£15,499","19,810 ",Petrol, 58.9 ,Automatic,134 ,2,16-11-2021
Land Rover,Range Rover Evoque 2.0 TD4 SE 5d 177 BHP,2017,Hatchback,5,5,Grey,2.0,"£24,999","40,089 ",n/a, 55.4 ,Automatic,178 ,1,16-11-2021
Audi,A4 2.0 TDI S LINE 4d 148 BHP,2017,Saloon,4,5,Black,2.0,"£16,699","72,849 ",n/a, 67.3 ,Automatic,148 ,1,16-11-2021
BMW,3 Series 2.0 330E M SPORT 4d 181 BHP,2018,Saloon,4,5,Blue,2.0,"£20,799","31,008 ",Hybrid, 134.5 ,Automatic,248 ,1,16-11-2021
Kia,Sportage 1.6 GT-LINE 5d 174 BHP,2017,Estate,5,5,White,1.6,"£18,000","29,871 ",Petrol, 37.2 ,Manual,174 ,1,16-11-2021
Nissan,Juke 1.2 BOSE PERSONAL EDITION DIG-T 5d 115 BHP,2018,Hatchback,5,5,Red,1.2,"£13,399","29,981 ",Petrol, 49.6 ,Manual,115 ,1,16-11-2021
Volkswagen,Golf 2.0 GTD 5d 181 BHP,2017,Hatchback,5,5,White,2.0,"£18,999","37,639 ",n/a, 67.3 ,Manual,182 ,1,16-11-2021
Toyota,C-HR 1.8 ICON 5d 122 BHP,2018,Coupe,5,5,Blue,1.8,"£19,199","37,273 ",Hybrid, 1 ,Automatic,121 ,1,16-11-2021
Jaguar,XE 2.0 D R-SPORT 4d 178 BHP,2018,Saloon,4,5,Blue,2.0,"£15,999","73,732 ",n/a, 67.3 ,Automatic,177 ,1,16-11-2021
Ford,Kuga 1.5 ST-LINE 5d 148 BHP,2018,Hatchback,5,5,Black,1.5,"£18,999","29,514 ",Petrol, 35.3 ,Manual,148 ,1,16-11-2021
BMW,5 Series 2.0 520D M SPORT 4d 188 BHP,2017,Saloon,4,5,Black,2.0,"£18,499","38,374 ",n/a, 62.8 ,Automatic,188 ,1,16-11-2021
BMW,3 Series 2.0 320D M SPORT TOURING 5d 188 BHP,2017,Estate,5,5,Black,2.0,"£21,499","32,712 ",n/a, 62.8 ,Automatic,188 ,2,16-11-2021
BMW,X5 3.0 XDRIVE30D M SPORT 5d 255 BHP,2015,Estate,5,5,Silver,3.0,"£24,899","99,256 ",n/a, 47.1 ,Automatic,255 ,5,16-11-2021
Land Rover,Range Rover Evoque 2.0 ED4 SE TECH 5d 148 BHP,2018,Hatchback,5,5,White,2.0,"£26,499","17,708 ",n/a, 65.7 ,Manual,148 ,1,16-11-2021
Toyota,Yaris 1.5 VVT-I ICON TECH 5d 73 BHP,2017,Hatchback,5,5,White,1.5,"£13,999","29,201 ",Hybrid, 85.6 ,Automatic,99 ,1,16-11-2021
Toyota,Prius 1.8 VVT-I BUSINESS EDITION PLUS 5d 97 BHP,2018,Hatchback,5,5,Black,1.8,"£19,299","56,175 ",Hybrid, 78.5 ,Automatic,121 ,1,16-11-2021
Ford,Mondeo 1.5 ZETEC EDITION 5d 163 BHP,2019,Hatchback,5,5,Blue,1.5,"£12,199","56,347 ",Petrol, 36.7 ,Manual,162 ,3,16-11-2021
MINI,Mini Countryman 1.5 COOPER S E ALL4 5d 222 BHP,2017,Hatchback,5,5,Green,1.5,"£20,999","75,411 ",Hybrid, 134.5 ,Automatic,221 ,1,16-11-2021
Land Rover,Range Rover Evoque 2.0 TD4 SE TECH 5d 177 BHP,2018,Hatchback,5,5,White,2.0,"£26,999","46,553 ",n/a, 55.4 ,Automatic,178 ,1,16-11-2021
Volkswagen,Golf 1.4 MATCH EDITION TSI BMT 5d 124 BHP,2016,Hatchback,5,5,Red,1.4,"£14,299","29,640 ",Petrol, 53.3 ,Manual,121 ,1,16-11-2021
BMW,1 Series 2.0 118D M SPORT 5d 147 BHP,2016,Hatchback,5,5,White,2.0,"£15,699","33,192 ",n/a, 65.7 ,Manual,147 ,2,16-11-2021
BMW,2 Series 1.5 218I LUXURY GRAN TOURER 5d 139 BHP,2019,Estate,5,7,Black,1.5,"£21,999","14,465 ",Petrol, 51.4 ,Manual,138 ,2,16-11-2021
Ford,Mondeo 2.0 TITANIUM EDITION ECONETIC TDCI 5d 148 BHP,2018,Hatchback,5,5,Black,2.0,"£16,799","28,237 ",n/a, 52.3 ,Manual,148 ,1,16-11-2021
Hyundai,Tucson 1.7 CRDI PREMIUM SE BLUE DRIVE 5d 139 BHP,2017,Estate,5,5,Black,1.7,"£20,999","38,152 ",n/a, 57.7 ,Automatic,139 ,1,16-11-2021
Audi,A1 1.4 SPORTBACK TFSI S LINE NAV 5d 123 BHP,2018,Hatchback,5,5,White,1.4,"£17,499","31,592 ",Petrol, 56.5 ,Automatic,123 ,2,16-11-2021
Renault,Captur 1.3 ICONIC TCE 5d 129 BHP,2019,Hatchback,5,5,Blue,1.3,"£14,499","33,533 ",Petrol, 50.4 ,Manual,129 ,1,16-11-2021
BMW,1 Series 1.5 118I SPORT 5d 134 BHP,2017,Hatchback,5,5,Black,1.5,"£12,899","50,632 ",Petrol, 53.3 ,Manual,134 ,1,16-11-2021
Honda,Jazz 1.3 I-VTEC S 5d 101 BHP,2018,Hatchback,n/a,n/a,Red,1.3,"£8,999","48,335 ",Petrol,n/a,Manual,n/a,1,16-11-2021
Mitsubishi,Outlander 2.0 PHEV 4H 5d 200 BHP,2018,Estate,5,5,Black,2.0,"£23,499","25,826 ",Hybrid, 166.1 ,Automatic,200 ,1,16-11-2021
BMW,5 Series 2.0 520D SE 4d 188 BHP,2018,Saloon,4,5,White,2.0,"£21,999","44,669 ",n/a, 68.9 ,Automatic,188 ,1,16-11-2021
Peugeot,2008 SUV 1.2 S/S ALLURE 5d 129 BHP,2018,Hatchback,5,5,Grey,1.2,"£14,299","17,842 ",Petrol, 55.4 ,Manual,129 ,2,16-11-2021
Nissan,X-Trail 1.6 DCI TEKNA 5d 130 BHP,2015,Estate,5,7,Grey,1.6,"£14,699","60,904 ",n/a, 57.7 ,Manual,130 ,2,16-11-2021
Seat,Leon 1.5 TSI EVO FR 5d 129 BHP,2019,Hatchback,5,5,Blue,1.5,"£14,499","33,887 ",Petrol, 46.3 ,Manual,129 ,1,16-11-2021
Audi,A3 1.6 TDI SPORT 5d 109 BHP,2015,Hatchback,5,5,Silver,1.6,"£9,999","77,002 ",n/a, 74.3 ,Manual,108 ,2,16-11-2021
BMW,5 Series 2.0 520D M SPORT TOURING 5d 188 BHP,2016,Estate,5,5,Blue,2.0,"£17,799","67,603 ",n/a, 60.1 ,Automatic,188 ,1,16-11-2021
Kia,Sportage 1.7 CRDI 4 ISG 5d 114 BHP,2016,Estate,5,5,Black,1.7,"£17,499","46,380 ",n/a, 61.4 ,Manual,114 ,1,16-11-2021
BMW,X1 2.0 SDRIVE18D SE 5d 148 BHP,2018,Estate,5,5,Black,2.0,"£20,999","11,033 ",n/a, 68.9 ,Manual,148 ,1,16-11-2021
Land Rover,Discovery Sport 2.0 TD4 SE TECH 5d 150 BHP,2016,Estate,5,5,Red,2.0,"£18,999","70,649 ",n/a, 57.7 ,Manual,150 ,1,16-11-2021
BMW,5 Series 2.0 520D LUXURY 4d 188 BHP,2016,Saloon,4,5,Grey,2.0,"£17,999","44,040 ",n/a, 65.7 ,Automatic,188 ,1,16-11-2021
Mercedes-Benz,A-Class 1.6 A 160 SPORT 5d 102 BHP,2018,Hatchback,5,5,White,1.6,"£15,699","47,632 ",Petrol, 51.4 ,Manual,102 ,1,16-11-2021
Mercedes-Benz,E-Class 2.0 E 220 D AMG LINE 5d 192 BHP,2018,Estate,5,5,Black,1.9,"£25,999","20,610 ",n/a, 61.4 ,Automatic,191 ,1,16-11-2021
Lexus,CT 200h 1.8 200H F SPORT 5d 135 BHP,2018,Hatchback,5,5,Black,1.8,"£20,999","11,861 ",Hybrid, 53.3 ,Automatic,134 ,1,16-11-2021
Mercedes-Benz,A-Class 1.6 A 160 SE EXECUTIVE 5d 102 BHP,2017,Hatchback,5,5,Red,1.6,"£14,999","51,021 ",Petrol, 55.4 ,Automatic,102 ,1,16-11-2021
Volkswagen,Passat 1.4 GTE DSG 5d 156 BHP,2017,Estate,5,5,Black,1.4,"£22,499","41,462 ",Hybrid, 166 ,Automatic,215 ,1,16-11-2021
MINI,Mini Countryman 1.5 COOPER S E ALL4 5d 222 BHP,2018,Hatchback,5,5,Blue,1.5,"£23,499","38,692 ",Hybrid, 97.4 ,Automatic,221 ,1,16-11-2021
Nissan,Juke 1.2 ACENTA DIG-T 5d 115 BHP,2018,Hatchback,5,5,Black,1.2,"£10,299","42,938 ",Petrol, 49.6 ,Manual,115 ,1,16-11-2021
Jaguar,XE 2.0 PORTFOLIO 4d 178 BHP,2017,Saloon,4,5,Black,2.0,"£15,499","51,961 ",n/a, 67.3 ,Manual,177 ,1,16-11-2021
Mercedes-Benz,C-Class 2.1 C 220 D SE EXECUTIVE EDITION 4d 170 BHP,2017,Saloon,4,5,Silver,2.1,"£17,999","49,401 ",n/a, 64.2 ,Automatic,170 ,1,16-11-2021
MINI,Mini Countryman 2.0 COOPER SD ALL4 5d 141 BHP,2015,Hatchback,5,5,Blue,2.0,"£15,999","31,215 ",n/a, 46.3 ,Automatic,141 ,2,16-11-2021
Jaguar,XF 2.0 D PRESTIGE 4d 161 BHP,2018,Saloon,4,5,Grey,2.0,"£20,999","16,840 ",n/a, 48.7 ,Manual,161 ,1,16-11-2021
Volkswagen,Polo 1.2 SE TSI 5d 89 BHP,2014,Hatchback,5,5,White,1.2,"£8,599","47,747 ",Petrol, 60.1 ,Manual,89 ,2,16-11-2021
Toyota,Prius 1.8 VVT-I BUSINESS EDITION 5d 97 BHP,2017,Hatchback,5,5,Blue,1.8,"£18,499","35,452 ",Hybrid, 94.2 ,Automatic,121 ,1,16-11-2021
Citroen,Grand C4 Picasso 1.6 BLUEHDI TOUCH EDITION S/S 5d 118 BHP,2017,MPV,5,7,Black,1.6,"£14,999","31,060 ",n/a, 70.6 ,Manual,118 ,1,16-11-2021
Mazda,Mazda6 2.2 D SE-L NAV 4d 148 BHP,2017,Saloon,4,5,Blue,2.2,"£11,999","40,048 ",n/a, 70.6 ,Manual,148 ,1,16-11-2021
Skoda,Octavia 1.0 SE TECHNOLOGY TSI 5d 114 BHP,2018,Estate,5,5,Beige,1.0,"£16,699","20,573 ",Petrol, 58.9 ,Manual,114 ,1,16-11-2021
BMW,3 Series 2.0 320D XDRIVE M SPORT TOURING 5d 188 BHP,2018,Estate,5,5,Blue,2.0,"£24,299","21,734 ",n/a, 57.7 ,Automatic,188 ,1,16-11-2021
Skoda,Octavia 1.6 SE TECHNOLOGY TDI 5d 114 BHP,2018,Estate,5,5,Blue,1.6,"£14,000","34,093 ",n/a, 68.9 ,Manual,114 ,1,16-11-2021
BMW,i3 0.6 I3 94AH RANGE EXTENDER 5d 168 BHP,2018,Hatchback,5,4,Black,0.6,"£19,999","41,088 ",Hybrid, 0.6 ,Automatic,168 ,1,16-11-2021
Land Rover,Range Rover Evoque 2.0 ED4 SE 5d 148 BHP,2017,Hatchback,5,5,Black,2.0,"£22,499","37,800 ",n/a, 65.7 ,Manual,148 ,1,16-11-2021
MINI,Mini 1.5 COOPER D 5d 114 BHP,2017,Hatchback,5,5,Grey,1.5,"£9,999","47,388 ",n/a, 78.5 ,Manual,114 ,1,16-11-2021
Land Rover,Range Rover Evoque 2.0 ED4 SE TECH 5d 148 BHP,2017,Hatchback,5,5,White,2.0,"£23,999","37,140 ",n/a, 65.7 ,Manual,148 ,1,16-11-2021
